TimePeriod,GeoType,GeoID,GeoRank,Geography,Number (with AC),Percent (with AC),Percent (without AC)
2017,PUMA2010,4017,8,Bensonhurst & Bath Beach,"63,000","91.6 (88.2, 95.0)",8.4
2017,PUMA2010,4018,8,Brighton Beach & Coney Island,"39,000","86.6 (80.3, 92.9)",13.4
2017,PUMA2010,4101,8,Astoria & Long Island City,"68,000","92.7 (89.8, 95.7)",7.3
2017,PUMA2010,4102,8,Jackson Heights & North Corona,"48,000","94.1 (91.3, 96.9)",5.9
2017,PUMA2010,4103,8,"Flushing, Murray Hill & Whitestone","71,000","94.1 (91.1, 97.1)",5.9
2017,PUMA2010,4104,8,"Bayside, Douglaston & Little Neck","34,000*","93.7* (89.9, 97.6)",6.3
2017,PUMA2010,4105,8,"Queens Village, Cambria Heights & Rosedale","48,000","92.8 (89.0, 96.6)",7.2
2017,PUMA2010,4106,8,"Briarwood, Fresh Meadows & Hillcrest","46,000","94.9 (92.0, 97.8)",5.1
2017,PUMA2010,4107,8,Elmhurst & South Corona,"47,000*","96.2* (93.4, 98.9)",3.8
2017,PUMA2010,4108,8,Forest Hills & Rego Park,"39,000","92.4 (88.3, 96.6)",7.6
2017,PUMA2010,4109,8,Sunnyside & Woodside,"44,000","91.9 (87.5, 96.3)",8.1
2017,PUMA2010,4110,8,"Ridgewood, Glendale & Middle Village","61,000","95.7 (93.4, 97.9)",4.3
2017,PUMA2010,4111,8,Richmond Hill & Woodhaven,"36,000","91.9 (87.6, 96.2)",8.1
2017,PUMA2010,4112,8,"Jamaica, Hollis & St. Albans","55,000","84.2 (79.6, 88.9)",15.8
2017,PUMA2010,4113,8,Howard Beach & Ozone Park,"34,000*","94.3* (90.0, 98.6)",5.7
2017,PUMA2010,4114,8,"Far Rockaway, Breezy Point & Broad Channel","33,000","83.2 (77.7, 88.7)",16.8
2017,Borough,1,1,Bronx,"389,000","85.6 (83.8, 87.4)",14.4
2017,Borough,2,1,Brooklyn,"783,000","90.4 (89.3, 91.5)",9.6
2017,Borough,3,1,Manhattan,"661,000","92.6 (91.3, 93.8)",7.4
2017,Borough,4,1,Queens,"664,000","92.3 (91.2, 93.5)",7.7
2017,Borough,5,1,Staten Island,"149,000","95.0 (93.4, 96.5)",5.0
2017,Citywide,1,0,New York City,"2,645,000","91.0 (90.4, 91.5)",9.1
2014,PUMA2010,3701,8,"Riverdale, Fieldston & Kingsbridge","36,000","90.8 (85.8, 95.7)",9.2
2014,PUMA2010,3702,8,"Wakefield, Williamsbridge & Woodlawn","43,000","86.6 (82.5, 90.8)",13.4
2014,PUMA2010,3703,8,"Co-op City, Pelham Bay & Schuylerville","42,000","93.2 (89.2, 97.1)",6.8
2014,PUMA2010,3704,8,"Pelham Parkway, Morris Park & Laconia","37,000","86.2 (81.6, 90.7)",13.8
2014,PUMA2010,3705,8,"Belmont, Crotona Park East & East Tremont","39,000","74.4 (66.8, 82.1)",25.6
2014,PUMA2010,3706,8,"Bedford Park, Fordham North & Norwood","39,000","82.7 (77.8, 87.7)",17.3
2014,PUMA2010,3707,8,"Morris Heights, Fordham South & Mount Hope","33,000","81.0 (74.2, 87.8)",19.0
2014,PUMA2010,3708,8,"Concourse, Highbridge & Mount Eden","37,000","81.4 (75.8, 87)",18.6
2014,PUMA2010,3709,8,"Castle Hill, Clason Point & Parkchester","53,000","81.3 (76.1, 86.5)",18.7
2014,PUMA2010,3710,8,"Hunts Point, Longwood & Melrose","36,000","74.3 (68, 80.5)",25.7
2014,PUMA2010,3801,8,"Washington Heights, Inwood & Marble Hill","63,000","90.2 (87.4, 93.1)",9.8
2014,PUMA2010,3802,8,"Hamilton Heights, Manhattanville & West Harlem","36,000","85.9 (80.5, 91.3)",14.1
2014,PUMA2010,3803,8,Central Harlem,"45,000","86.9 (82, 91.7)",13.1
2014,PUMA2010,3804,8,East Harlem,"41,000","87.6 (82.6, 92.5)",12.4
2014,PUMA2010,3805,8,Upper East Side,"110,000","97.3 (95.8, 98.8)",2.7
